,full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
97,Calum Chambers,25,790560000,Premier League,2018/2019,Defender,Fulham,2587,1458,1129,England,31,16,13,2,2,0,0,0,0,0,0,5,3,2,49,24,25,9,0,0.07,0.0,0.07,0.12,0.0,1294,1.7,53,83,287,0,0.31,196,399,144,5
98,Cameron John,20,935452800,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
99,Carl Jenkinson,28,697507200,Premier League,2018/2019,Defender,Arsenal,166,166,0,England,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.08,83,55,0,0,0.0,-1,-1,-1,18
100,Carlos Sanchez,34,508032000,Premier League,2018/2019,Midfielder,West Ham United,240,120,120,Colombia,7,1,1,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.75,120,34,0,0,0.0,-1,-1,-1,21
101,Cedric Soares,28,683596800,Premier League,2018/2019,Defender,Southampton,1494,651,843,Portugal,18,7,9,1,1,0,2,0,2,0,0,5,2,3,26,7,19,4,0,0.18,0.12,0.06,0.14,0.0,1494,1.57,57,83,374,747,0.24,206,130,127,15
102,Cenk Tosun,29,676252800,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,5,5,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,77,37,-1,6
103,Cesar Azpilicueta,30,620265600,Premier League,2018/2019,Defender,Chelsea,3403,1693,1710,Spain,38,19,19,1,0,1,5,3,2,0,0,16,10,6,38,12,26,4,0,0.16,0.13,0.03,0.0,0.05,3403,1.0,90,90,851,681,0.11,260,116,33,14
104,Cesc Fabregas,33,547084800,Premier League,2018/2019,Midfielder,Chelsea,175,73,102,Spain,6,0,1,0,0,0,0,0,0,0,0,3,2,1,2,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.03,88,29,175,0,0.51,-1,-1,-1,18
105,Charlie Austin,31,615600000,Premier League,2018/2019,Forward,Southampton,980,454,526,England,25,5,6,2,1,1,2,1,1,0,1,6,3,3,14,6,8,1,0,0.37,0.18,0.18,0.2,0.17,490,1.29,70,39,980,490,0.09,105,75,-1,8
106,Charlie Daniels,33,526435200,Premier League,2018/2019,Defender,AFC Bournemouth,1583,803,780,England,21,9,8,1,1,0,0,0,0,0,0,6,4,2,32,14,18,4,0,0.06,0.0,0.06,0.11,0.0,1583,1.82,49,75,396,0,0.23,203,276,152,12
107,Charlie Taylor,26,748310400,Premier League,2018/2019,Defender,Burnley,3240,1636,1604,England,38,18,17,0,0,0,1,1,0,0,0,8,5,3,53,24,29,2,0,0.03,0.03,0.0,0.0,0.0,0,1.47,61,85,1620,3240,0.06,381,239,111,19
108,Cheikhou Kouyate,30,630201600,Premier League,2018/2019,Midfielder,Crystal Palace,1897,865,1032,Senegal,31,9,12,0,0,0,2,1,1,0,0,11,6,5,24,7,17,3,0,0.09,0.09,0.0,0.0,0.0,0,1.14,79,61,632,949,0.14,323,161,-1,20
109,Chris Lowe,31,608688000,Premier League,2018/2019,Defender,Huddersfield Town,2056,932,1124,Germany,29,11,12,0,0,0,2,1,1,0,0,1,1,0,52,19,33,2,0,0.09,0.09,0.0,0.0,0.0,0,2.28,40,71,1028,1028,0.09,328,164,169,30
110,Chris Mepham,22,878688000,Premier League,2018/2019,Defender,AFC Bournemouth,849,436,413,Wales,13,5,5,0,0,0,1,0,1,0,0,3,1,2,16,7,9,1,0,0.11,0.11,0.0,0.0,0.0,0,1.7,53,65,849,849,0.11,279,136,142,17
111,Chris Smalling,30,627696000,Premier League,2018/2019,Defender,Manchester United,2128,1138,990,England,24,13,11,1,0,1,0,0,0,0,0,4,2,2,34,16,18,1,0,0.04,0.0,0.04,0.0,0.09,2128,1.44,63,89,2128,0,0.04,245,294,106,15
112,Chris Wood,28,692064000,Premier League,2018/2019,Forward,Burnley,2582,1330,1252,New Zealand,38,15,14,10,4,6,2,0,2,0,0,8,5,3,43,21,22,2,0,0.42,0.07,0.35,0.27,0.43,258,1.5,60,68,1291,1291,0.07,50,188,-1,2
113,Christian Atsu,28,695001600,Premier League,2018/2019,Midfielder,Newcastle United,1487,710,777,Ghana,28,7,8,1,1,0,0,0,0,0,0,8,3,5,16,10,6,2,0,0.06,0.0,0.06,0.13,0.0,1487,0.97,93,53,744,0,0.12,207,271,-1,7
114,Christian Benteke,29,660182400,Premier League,2018/2019,Forward,Crystal Palace,813,526,287,Belgium,16,6,3,1,0,1,1,0,1,0,0,5,3,2,10,6,4,1,0,0.22,0.11,0.11,0.0,0.31,813,1.11,81,51,813,813,0.11,151,139,-1,10
115,Christian Eriksen,28,698025600,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,1457,1315,Denmark,35,16,14,8,6,2,12,8,4,0,0,10,6,4,34,14,20,3,0,0.65,0.39,0.26,0.37,0.14,347,1.1,82,79,924,231,0.1,75,10,-1,4
116,Christian Fuchs,34,513216000,Premier League,2018/2019,Defender,Leicester City,206,90,116,Austria,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.75,52,69,0,0,0.0,-1,-1,-1,17
117,Christian Kabasele,29,667353600,Premier League,2018/2019,Defender,Watford,1587,957,630,Belgium,21,12,7,0,0,0,0,0,0,0,0,4,3,1,25,15,10,4,1,0.0,0.0,0.0,0.0,0.0,0,1.42,63,76,397,0,0.23,393,402,101,24
118,Christopher Schindler,30,641347200,Premier League,2018/2019,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0.0,0.03,0.0,0.06,3262,1.9,47,88,544,0,0.17,252,345,157,9
119,Ciaran Clark,30,622771200,Premier League,2018/2019,Defender,Newcastle United,857,416,441,Republic of Ireland,11,4,5,3,1,2,0,0,0,0,0,2,0,2,14,9,5,1,0,0.32,0.0,0.32,0.22,0.41,286,1.47,61,78,857,0,0.11,59,315,113,4
120,Claudio Bravo,37,419040000,Premier League,2018/2019,Goalkeeper,Manchester City,0,0,0,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
121,Collin Quaner,29,677203200,Premier League,2018/2019,Forward,Huddersfield Town,37,9,28,Germany,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,4.86,19,19,0,0,0.0,-1,-1,-1,15
122,Connor Wickham,27,733536000,Premier League,2018/2019,Forward,Crystal Palace,61,49,12,England,6,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,1.48,1.48,0.0,0.0,0.0,0,0.0,0,10,0,61,0.0,-1,-1,-1,16
123,Conor Coady,27,730598400,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,9,7,2,43,20,23,5,0,0.0,0.0,0.0,0.0,0.0,0,1.13,80,90,684,0,0.13,394,415,-1,18
124,Conor Coventry,20,953942400,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
125,Craig Cathcart,31,602726400,Premier League,2018/2019,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,17,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0.0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,181,400,119,6
126,Curtis Jones,19,980812800,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
127,Cyrus Christie,27,717811200,Premier League,2018/2019,Defender,Fulham,1943,1053,890,Republic of Ireland,28,10,9,0,0,0,1,1,0,0,0,5,3,2,40,20,20,7,0,0.05,0.05,0.0,0.0,0.0,0,1.85,49,69,278,1943,0.32,315,205,155,27
128,Dale Stephens,31,613612800,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,15,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0.0,0.07,2487,1.56,58,83,311,2487,0.29,247,224,-1,9
129,Damián Emiliano Martínez,27,715392000,Premier League,2018/2019,Goalkeeper,Arsenal,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
130,Dan Burn,28,705369600,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
131,Dan Gosling,30,633830400,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,England,25,10,9,2,0,2,1,0,1,0,0,7,4,3,31,14,17,8,0,0.16,0.05,0.1,0.0,0.22,869,1.61,56,69,217,1737,0.41,158,206,-1,8
132,Daniel Amartey,25,787968000,Premier League,2018/2019,Midfielder,Leicester City,640,307,333,Ghana,9,3,4,0,0,0,0,0,0,0,0,2,1,1,9,4,5,2,0,0.0,0.0,0.0,0.0,0.0,0,1.27,71,71,320,0,0.28,343,313,-1,24
133,Daniel Sturridge,30,620611200,Premier League,2018/2019,Forward,Liverpool,496,152,344,England,18,1,3,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,47,79,-1,10
134,Danny Ings,28,711849600,Premier League,2018/2019,Forward,Southampton,1668,922,746,England,24,12,11,7,3,4,3,3,0,3,0,6,2,4,26,13,13,1,0,0.54,0.16,0.38,0.29,0.48,238,1.4,64,70,1668,556,0.05,41,87,-1,2
135,Daniel Williams,31,605318400,Premier League,2018/2019,Midfielder,Huddersfield Town,93,13,80,USA,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.97,93,19,93,0,0.97,-1,-1,-1,21
136,Danilo,29,679536000,Premier League,2018/2019,Defender,Manchester City,806,450,356,Brazil,11,5,4,1,0,1,0,0,0,0,0,5,3,2,7,2,5,1,0,0.11,0.0,0.11,0.0,0.25,806,0.78,115,73,806,0,0.11,150,318,18,13
137,Danny Drinkwater,30,636595200,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
138,Danny Rose,30,646876800,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,969,837,England,26,11,9,0,0,0,3,1,2,0,0,10,7,3,12,6,6,5,0,0.15,0.15,0.0,0.0,0.0,0,0.6,151,69,361,602,0.25,289,95,11,17
139,Danny Simpson,33,536716800,Premier League,2018/2019,Defender,Leicester City,291,26,265,England,6,0,3,0,0,0,0,0,0,0,0,3,1,2,4,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,1.24,73,49,0,0,0.0,269,333,73,21
141,Danny Ward,27,740707200,Premier League,2018/2019,Goalkeeper,Leicester City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
143,Danny Ward,29,660700800,Premier League,2018/2019,Forward,Cardiff City,440,246,194,England,14,3,1,1,1,0,0,0,0,0,0,2,0,2,11,8,3,0,0,0.2,0.0,0.2,0.37,0.0,440,2.25,40,31,0,0,0.0,94,382,-1,10
144,Danny Welbeck,29,659577600,Premier League,2018/2019,Forward,Arsenal,147,47,100,England,8,0,1,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,1.22,0.61,0.61,1.91,0.0,147,1.22,74,18,0,147,0.0,-1,-1,-1,13
145,Daryl Janmaat,31,617068800,Premier League,2018/2019,Defender,Watford,1521,836,685,Netherlands,18,9,8,0,0,0,2,2,0,0,0,3,2,1,22,8,14,3,0,0.12,0.12,0.0,0.0,0.0,0,1.3,69,85,507,761,0.18,395,127,84,23
146,David Brooks,23,868320000,Premier League,2018/2019,Forward,AFC Bournemouth,2278,1289,989,England,30,17,12,7,4,3,5,3,2,0,0,9,5,4,39,17,22,3,0,0.47,0.2,0.28,0.28,0.27,325,1.54,58,76,759,456,0.12,68,65,-1,4
147,David Button,31,604540800,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,180,180,England,4,2,2,0,0,0,0,0,0,0,0,1,1,0,5,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0,1.25,72,90,0,0,0.0,404,327,79,14
148,David de Gea,29,657936000,Premier League,2018/2019,Goalkeeper,Manchester United,3420,1710,1710,Spain,38,19,19,0,0,0,0,0,0,0,0,7,2,5,51,23,28,1,0,0.0,0.0,0.0,0.0,0.0,0,1.34,67,90,3420,0,0.03,310,419,91,18
149,David Junior Hoilett,30,644544000,Premier League,2018/2019,Forward,Cardiff City,2142,1008,1134,Canada,32,10,13,3,2,1,1,0,1,0,0,9,5,4,42,20,22,4,0,0.17,0.04,0.13,0.18,0.08,714,1.76,51,67,536,2142,0.17,133,220,-1,7
150,David Luiz,33,546048000,Premier League,2018/2019,Defender,Chelsea,3239,1709,1530,Brazil,36,19,17,3,3,0,2,1,1,0,0,16,10,6,35,12,23,3,0,0.14,0.06,0.08,0.16,0.0,1080,0.97,93,90,1080,1620,0.08,188,198,27,9
151,David Silva,34,505526400,Premier League,2018/2019,Midfielder,Manchester City,2411,1088,1323,Spain,33,13,15,6,4,2,8,3,5,0,0,17,8,9,14,7,7,3,0,0.52,0.3,0.22,0.33,0.14,402,0.52,172,73,804,301,0.11,88,22,-1,7
152,Davide Zappacosta,28,708220800,Premier League,2018/2019,Defender,Chelsea,125,35,90,Italy,4,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,31,0,0,0.0,-1,-1,-1,22
153,Davinson Sanchez,24,834537600,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,873,1070,Colombia,23,10,12,1,1,0,1,0,1,0,0,6,3,3,21,9,12,2,0,0.09,0.05,0.05,0.1,0.0,1943,0.97,93,84,972,1943,0.09,225,208,28,13
154,Davy Propper,28,683769600,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,1371,1180,Netherlands,30,16,14,1,0,1,1,0,1,0,0,5,4,1,44,19,25,2,0,0.07,0.04,0.04,0.0,0.08,2551,1.55,58,85,1276,2551,0.07,242,226,-1,10
155,DeAndre Yedlin,27,742176000,Premier League,2018/2019,Defender,Newcastle United,2475,1313,1162,USA,29,15,13,1,0,1,2,1,1,0,0,6,4,2,37,19,18,7,1,0.11,0.07,0.04,0.0,0.08,2475,1.35,67,85,309,1238,0.29,228,177,93,13
156,Declan Rice,21,916272000,Premier League,2018/2019,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0,0,0,6,3,3,42,21,21,4,0,0.06,0.0,0.06,0.13,0.0,1503,1.26,72,88,751,0,0.12,205,362,-1,9
157,Dejan Lovren,31,615600000,Premier League,2018/2019,Defender,Liverpool,985,540,445,Croatia,13,6,5,1,1,0,0,0,0,0,0,6,3,3,7,3,4,1,0,0.09,0.0,0.09,0.17,0.0,985,0.64,141,76,985,0,0.09,176,324,15,12
158,Dele Alli,24,829180800,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,755,1072,England,25,9,13,5,1,4,3,2,1,0,0,7,3,4,17,4,13,4,0,0.39,0.15,0.25,0.12,0.34,365,0.84,107,73,457,609,0.2,82,97,-1,5
159,Demarai Gray,24,835920000,Premier League,2018/2019,Midfielder,Leicester City,1992,1069,923,England,34,11,12,4,1,3,1,1,0,0,0,8,5,3,26,10,16,2,0,0.23,0.05,0.18,0.08,0.29,498,1.17,77,59,996,1992,0.09,103,212,-1,3
160,Demeaco Duhaney,21,908236800,Premier League,2018/2019,Defender,Huddersfield Town,46,46,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,46,0,0,0.0,-1,-1,-1,17
161,Denis Odoi,32,580694400,Premier League,2018/2019,Defender,Fulham,2593,1153,1440,Belgium,31,13,16,0,0,0,1,0,1,0,0,5,3,2,59,23,36,4,0,0.03,0.03,0.0,0.0,0.0,0,2.05,44,84,648,2593,0.14,286,244,165,17
162,Denis Suárez,26,757814400,Premier League,2018/2019,Midfielder,Arsenal,67,29,38,Spain,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,0.0,-1,-1,-1,28
163,Diego Rico,27,730425600,Premier League,2018/2019,Defender,AFC Bournemouth,607,148,459,Spain,12,1,4,0,0,0,0,0,0,0,0,0,0,0,18,3,15,1,0,0.0,0.0,0.0,0.0,0.0,0,2.67,34,51,607,0,0.15,303,259,172,21
164,Diogo José Teixeira da Silva,23,849657600,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,1210,1161,Portugal,33,15,14,9,7,2,5,3,2,0,0,9,7,2,29,11,18,11,0,0.53,0.19,0.34,0.52,0.16,263,1.1,82,72,216,474,0.42,52,69,-1,2
165,Divock Origi,25,798163200,Premier League,2018/2019,Forward,Liverpool,366,176,190,Belgium,12,2,2,3,2,1,1,0,1,0,0,7,4,3,2,0,2,0,0,0.98,0.25,0.74,1.02,0.47,122,0.49,183,31,0,366,0.0,2,42,-1,7
166,Domingos Quina,20,942883200,Premier League,2018/2019,Midfielder,Watford,335,217,118,Portugal,8,2,1,1,1,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0.27,0.0,0.27,0.41,0.0,335,1.34,67,42,0,0,0.0,72,316,-1,13
167,Dominic Calvert-Lewin,23,858470400,Premier League,2018/2019,Forward,Everton,1774,1023,751,England,35,11,8,6,3,3,2,2,0,0,0,13,8,5,24,12,12,3,0,0.41,0.1,0.3,0.26,0.36,296,1.22,74,51,591,887,0.15,65,152,-1,3
168,Dominic Solanke,22,874195200,Premier League,2018/2019,Forward,AFC Bournemouth,341,165,176,England,10,1,1,0,0,0,1,1,0,0,0,2,0,2,4,1,3,0,0,0.26,0.26,0.0,0.0,0.0,0,1.06,85,34,0,341,0.0,280,38,-1,16
169,Dwight McNeil,20,943228800,Premier League,2018/2019,Forward,Burnley,1599,941,658,England,21,11,8,3,3,0,5,3,2,0,0,4,3,1,22,12,10,2,0,0.45,0.28,0.17,0.29,0.0,533,1.24,73,76,800,320,0.11,112,29,-1,7
170,Eden Hazard,29,663206400,Premier League,2018/2019,Midfielder,Chelsea,2926,1527,1399,Belgium,37,17,15,16,11,5,15,10,5,4,0,15,10,5,34,9,25,2,0,0.95,0.46,0.49,0.65,0.32,183,1.05,86,79,1463,195,0.06,18,5,-1,1
171,Ederson Moraes,26,745545600,Premier League,2018/2019,Goalkeeper,Manchester City,3420,1710,1710,Brazil,38,19,19,0,0,0,1,1,0,0,0,20,9,11,23,12,11,2,0,0.03,0.03,0.0,0.0,0.0,0,0.61,149,90,1710,3420,0.05,366,240,13,21
172,Edward Nketiah,21,928022400,Premier League,2018/2019,Forward,Arsenal,62,4,58,England,5,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,1.45,0.0,1.45,0.0,1.55,62,2.9,31,12,0,0,0.0,-1,-1,-1,14
173,Elias Kachunga,28,703900800,Premier League,2018/2019,Forward,Huddersfield Town,1181,611,570,Congo DR,20,7,6,0,0,0,0,0,0,0,0,2,1,1,28,14,14,2,0,0.0,0.0,0.0,0.0,0.0,0,2.13,42,59,591,0,0.15,306,261,-1,12
174,Emerson Hyndman,24,829008000,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,0,37,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,4.86,19,37,0,0,0.0,-1,-1,-1,14
175,Emerson Palmieri,25,775872000,Premier League,2018/2019,Defender,Chelsea,660,360,300,Italy,10,4,3,0,0,0,0,0,0,0,0,3,2,1,10,3,7,0,0,0.0,0.0,0.0,0.0,0.0,0,1.36,66,66,0,0,0.0,274,296,96,17
176,Emile Smith Rowe,20,964742400,Premier League,2018/2019,Midfielder,Arsenal,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
177,Eric Bailly,26,766108800,Premier League,2018/2019,Defender,Manchester United,637,349,288,Côte d'Ivoire,12,5,3,0,0,0,0,0,0,0,0,3,0,3,12,6,6,1,1,0.0,0.0,0.0,0.0,0.0,0,1.7,53,53,319,0,0.28,340,310,141,26
178,Eric Dier,26,758592000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,674,836,England,20,8,10,3,2,1,0,0,0,0,0,6,2,4,16,8,8,4,0,0.18,0.0,0.18,0.27,0.11,503,0.95,94,76,378,0,0.24,107,278,-1,7
179,Erik Durm,28,705628800,Premier League,2018/2019,Defender,Huddersfield Town,2052,869,1183,Germany,28,8,13,0,0,0,1,0,1,0,0,3,1,2,43,17,26,0,0,0.04,0.04,0.0,0.0,0.0,0,1.89,48,73,0,2052,0.0,307,232,156,13
180,Erik Lamela,28,699667200,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,493,478,Argentina,19,4,5,4,1,3,2,1,1,0,0,5,3,2,11,5,6,2,0,0.56,0.19,0.37,0.18,0.56,243,1.02,88,51,486,486,0.19,44,68,-1,6
181,Ethan Ampadu,19,968889600,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
182,Etienne Capoue,32,584582400,Premier League,2018/2019,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0.0,0.06,2947,1.44,63,89,184,982,0.49,253,155,-1,9
183,Fabian Balbuena,28,682905600,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0.0,0.04,0.0,0.08,2014,1.21,75,88,1007,0,0.09,233,356,66,10
184,Fabian Delph,30,627609600,Premier League,2018/2019,Midfielder,Manchester City,725,266,459,England,11,3,5,0,0,0,1,1,0,0,0,4,1,3,9,4,5,2,1,0.12,0.12,0.0,0.0,0.0,0,1.12,81,66,242,725,0.37,295,125,-1,19
185,Fabian Schar,28,693187200,Premier League,2018/2019,Defender,Newcastle United,2002,1173,829,Switzerland,24,13,9,4,3,1,1,0,1,0,0,8,5,3,21,14,7,12,0,0.22,0.04,0.18,0.23,0.11,501,0.94,95,83,167,2002,0.54,108,230,23,3
186,Fabinho,26,751334400,Premier League,2018/2019,Midfielder,Liverpool,2013,1051,962,Brazil,28,11,10,1,1,0,2,1,1,0,0,15,7,8,13,6,7,6,0,0.13,0.09,0.04,0.09,0.0,2013,0.58,155,72,336,1007,0.27,231,167,-1,15
187,Fabricio Agosto Ramírez,32,567907200,Premier League,2018/2019,Goalkeeper,Fulham,180,90,90,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0,2.5,36,90,0,0,0.0,-1,-1,-1,13
188,Faustino Marcos Alberto Rojo,30,637891200,Premier League,2018/2019,Defender,Manchester United,211,211,0,Argentina,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0,1.71,53,42,106,0,0.85,-1,-1,-1,21
189,Federico Fernandez,31,604022400,Premier League,2018/2019,Defender,Newcastle United,1484,607,877,Argentina,19,7,10,0,0,0,1,1,0,0,0,4,1,3,22,9,13,2,0,0.06,0.06,0.0,0.0,0.0,0,1.33,67,78,742,1484,0.12,297,194,90,15
190,Felipe Anderson,27,734832000,Premier League,2018/2019,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2,0,0,6,3,3,43,21,22,3,0,0.38,0.12,0.27,0.25,0.28,339,1.27,71,85,1018,764,0.09,70,126,-1,2
191,Fernando Llorente,35,478224000,Premier League,2018/2019,Forward,Tottenham Hotspur,683,508,175,Spain,20,5,1,1,1,0,4,4,0,0,0,7,5,2,8,5,3,2,0,0.66,0.53,0.13,0.18,0.0,683,1.05,85,34,342,171,0.26,137,2,-1,8
192,Fernando Luiz Rosa,35,484012800,Premier League,2018/2019,Midfielder,Manchester City,2381,1286,1095,Brazil,29,14,13,1,1,0,3,3,0,0,0,16,7,9,15,8,7,5,0,0.15,0.11,0.04,0.07,0.0,2381,0.57,159,82,476,794,0.19,229,134,-1,15
193,Florent Hadergjonaj,26,775612800,Premier League,2018/2019,Defender,Huddersfield Town,1840,1011,829,Switzerland,24,11,8,0,0,0,0,0,0,0,0,4,2,2,34,15,19,1,0,0.0,0.0,0.0,0.0,0.0,0,1.66,54,77,1840,0,0.05,329,376,135,29
194,Florian Lejeune,29,674697600,Premier League,2018/2019,Defender,Newcastle United,1055,515,540,France,12,6,6,0,0,0,0,0,0,0,0,3,3,0,12,3,9,0,0,0.0,0.0,0.0,0.0,0.0,0,1.02,88,88,0,0,0.0,278,301,35,14
195,Florin Andone,27,734486400,Premier League,2018/2019,Forward,Brighton & Hove Albion,874,416,458,Romania,23,3,5,3,2,1,0,0,0,0,0,3,3,0,13,5,8,5,0,0.31,0.0,0.31,0.43,0.2,291,1.34,67,38,175,0,0.51,60,289,-1,3
196,Floyd Ayité,31,598147200,Premier League,2018/2019,Midfielder,Fulham,465,296,169,Togo,16,3,0,1,0,1,0,0,0,0,0,3,1,2,13,7,6,0,0,0.19,0.0,0.19,0.0,0.53,465,2.52,36,29,0,0,0.0,101,268,-1,9
197,Fousseni Diabaté,24,813974400,Premier League,2018/2019,Midfielder,Leicester City,55,0,55,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.64,55,55,0,0,0.0,-1,-1,-1,22
